epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.606,1.07184,1.73987,1.26414,0.74747,0.56409,0.63632,0.38251,1.25497,1.7825,1.50941,0.000415964,0.000415964,0.000415964
2,244.14,1.07461,1.13386,1.25089,0.81855,0.74275,0.83524,0.61873,0.98722,0.97161,1.28957,0.000805154,0.000805154,0.000805154
3,361.906,1.07256,1.05525,1.24051,0.85162,0.77886,0.86855,0.61475,1.02296,0.87519,1.3198,0.00116684,0.00116684,0.00116684
4,479.292,1.04736,0.96937,1.23665,0.79321,0.83068,0.8753,0.63458,0.98552,0.84974,1.2853,0.00112625,0.00112625,0.00112625
5,596.409,1.00707,0.9106,1.21461,0.87304,0.78821,0.88602,0.64056,0.98218,0.83789,1.28691,0.001085,0.001085,0.001085
6,713.711,0.97942,0.84202,1.18883,0.87576,0.85747,0.91541,0.67883,0.92845,0.69296,1.25118,0.00104375,0.00104375,0.00104375
7,831.047,0.94967,0.77559,1.17214,0.91664,0.8441,0.92495,0.70335,0.8596,0.62469,1.18604,0.0010025,0.0010025,0.0010025
8,948.063,0.93557,0.75905,1.16457,0.91271,0.87675,0.92893,0.69853,0.90101,0.62854,1.22941,0.00096125,0.00096125,0.00096125
9,1065.14,0.91747,0.72297,1.15574,0.9131,0.84175,0.92283,0.70494,0.87853,0.65009,1.22353,0.00092,0.00092,0.00092
10,1182.27,0.90466,0.68919,1.14503,0.88551,0.92274,0.94448,0.73139,0.82045,0.55594,1.17429,0.00087875,0.00087875,0.00087875
11,1299.22,0.87049,0.65506,1.13612,0.89462,0.91519,0.94458,0.72842,0.83124,0.54759,1.18829,0.0008375,0.0008375,0.0008375
12,1416.75,0.86251,0.63949,1.12504,0.93604,0.88129,0.94536,0.73437,0.83062,0.52779,1.1688,0.00079625,0.00079625,0.00079625
13,1534.31,0.86367,0.61436,1.12427,0.92748,0.89797,0.95457,0.7504,0.80587,0.51678,1.16102,0.000755,0.000755,0.000755
14,1651.62,0.85063,0.60601,1.1158,0.94103,0.90444,0.95236,0.74148,0.81832,0.52226,1.16227,0.00071375,0.00071375,0.00071375
15,1768.86,0.84735,0.59495,1.1159,0.94583,0.90967,0.95239,0.76265,0.77749,0.47771,1.13578,0.0006725,0.0006725,0.0006725
16,1886.66,0.82725,0.57883,1.10274,0.93618,0.91039,0.95648,0.74952,0.81075,0.50497,1.16962,0.00063125,0.00063125,0.00063125
17,2004.35,0.83339,0.55636,1.10343,0.93429,0.93028,0.95588,0.76472,0.78504,0.46905,1.12884,0.00059,0.00059,0.00059
18,2121.93,0.80656,0.55822,1.08427,0.93865,0.93546,0.96032,0.76572,0.77322,0.45477,1.13463,0.00054875,0.00054875,0.00054875
19,2239.54,0.79507,0.52863,1.086,0.95572,0.91495,0.96389,0.774,0.7833,0.45789,1.12952,0.0005075,0.0005075,0.0005075
20,2356.41,0.78406,0.52216,1.07684,0.94208,0.92816,0.96134,0.77612,0.77847,0.44822,1.12343,0.00046625,0.00046625,0.00046625
